Age,Income,Gender,Marital_Status,Education_Level,Purchase_History,Product_Interest,Purchase
56,81063,Male,Single,Bachelor’s,2,7,1
69,138527,Male,Single,High School,11,8,1
46,143239,Female,Married,High School,19,9,1
32,147896,Male,Divorced,PhD,6,2,0
60,55144,Male,Single,PhD,7,1,1
25,72161,Female,Married,Bachelor’s,8,4,0
38,116718,Female,Married,Bachelor’s,13,5,0
56,145873,Male,Divorced,High School,4,10,1
36,111074,Female,Married,Master’s,20,1,1
40,97360,Male,Married,High School,18,5,1
28,70979,Female,Single,Bachelor’s,20,6,1
28,117661,Male,Single,Master’s,15,3,0
41,26979,Male,Divorced,PhD,11,7,0
70,46189,Male,Divorced,Bachelor’s,20,6,1
53,62600,Male,Married,Bachelor’s,3,4,0
57,79560,Female,Single,Master’s,7,3,1
41,98040,Female,Divorced,Bachelor’s,6,5,0
20,143257,Female,Divorced,Bachelor’s,14,3,0
39,81558,Female,Divorced,Bachelor’s,5,10,1
70,106205,Male,Married,Bachelor’s,4,9,1
19,26910,Male,Single,Bachelor’s,13,9,0
41,77713,Female,Divorced,Bachelor’s,20,6,1
61,66857,Female,Single,Bachelor’s,12,6,0
47,54964,Female,Divorced,Bachelor’s,9,4,1
55,105667,Female,Divorced,PhD,17,4,1
19,45227,Female,Single,Bachelor’s,3,2,1
38,25978,Male,Single,PhD,7,10,1
50,107527,Male,Single,PhD,10,4,1
29,37153,Male,Married,High School,16,8,1
39,79765,Female,Divorced,High School,17,10,1
61,119084,Female,Married,PhD,20,2,0
42,128212,Female,Single,PhD,10,9,1
66,59071,Female,Divorced,Bachelor’s,15,1,0
44,132990,Male,Married,High School,11,2,1
59,89519,Male,Divorced,Master’s,12,2,0
45,29503,Female,Married,High School,15,6,1
33,80703,Male,Single,PhD,20,7,1
32,84379,Male,Married,PhD,0,3,0
64,115457,Female,Divorced,Bachelor’s,15,9,1
68,77866,Female,Divorced,Bachelor’s,14,5,1
61,36905,Female,Divorced,High School,5,5,1
69,65838,Female,Divorced,Bachelor’s,11,4,1
20,145200,Female,Single,Master’s,7,9,1
54,78279,Female,Married,Master’s,6,8,0
68,109489,Male,Single,Bachelor’s,1,4,1
24,46806,Male,Single,Master’s,11,4,0
38,65000,Female,Single,Master’s,20,2,0
26,42168,Male,Divorced,High School,13,9,0
56,90119,Female,Divorced,Master’s,15,3,0
35,58714,Female,Divorced,PhD,10,4,0
21,74093,Female,Married,PhD,19,7,0
